ปี,ชื่อ-นามสกุล,ตำแหน่ง,ประเภทกรรมการ,คณะกรรมการ
2564,นายมนัส โกศล,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2564,นายวสันต์ มหิงษา,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2564,นายสมพงษ์ เจริญทรัพย์ทวี,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2564,นายสายัณห์ สำมะการ,ประธานกรรมการ,ประธาน,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2564,นายอารักษ์ จำรัสพันธุ์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2564,นางสาวณัฐชนน วัฒนญาณนนท์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2564,นางสาวลัดดา แซ่ลี้,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2564,นายนันทชัย ปัญญาสุรฤทธิ์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2564,นายบุญสงค์ ทัพชัยยุทธ์,เลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2563,นพ. ชาญวิทย์ ธีระเทพ,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นางเธียรรัตน์ นะวะมะวัฒน์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นางอำมร เชาวลิต,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายกวี รัตนปรีชาเวช,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายธนสถิต คำามาวงษ์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายมนัส โกศล,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายวสันต์ มหิงษา,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายสมพงษ์ เจริญทรัพย์ทวี,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายอนันต์ชัย อุทัยพัฒนาชีพ,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายอาทิตย์ อิสโม,ประธานกรรมการ,ประธาน,คณะกรรมการกองทุนเงินทดแทน
2563,ว่าที่ ร.ต. สิทธิพงษ์ บาลพิชัย,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2563,นายสมจินต์ ศรไพศาล,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนเงินทดแทน
2563,นายสมชาย พรหมรัตนสุวรรณ,ประธานกรรมการ,ประธาน,คณะกรรมการการตรวจสอบกองทุนเงินทดแทน
2563,นายสุชาติ พรชัยวิเศษกุล,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนเงินทดแทน
2563,นางกรรณิการ์ งามโสภี,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2563,นางสาวพรวิลัย เดชอมรชัย,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2563,นายชาตรี สุวรรณิน,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2563,นายนาวิน แสงสันต์,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2563,นายประเสริฐ หวังรัตนปราณี,กรรมการ,กรรมการ,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2563,นายสุพจน์ สิงห์เสน่ห์,ประธานกรรมการ,ประธาน,คณะกรรมการการตรวจสอบกองทุนประกันสังคม
2563,นพ. ธิงชัย กฤติหัตถยากร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,นพ. วิบูลย์ สงวนพงศ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,นพ. สุพจน์ ศรีธีรมมา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,ผศ. นพ. พิเชษฐินทร์ เวชชาภินันท์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,รศ. นพ. พิสิษฐ์ พิริยาพรรณ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,รศ. นพ. วรศักดิ์ จริยศิริ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,ศ.คลินิกเกียรติคุณ นพ. เหลือพร ปุณณกันต์,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2563,นายวิกรม ปิติสุข,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,นายวิวัฒน์ อัศวศิริเลิศ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,นายสุขสันต์ กิตติศุภกร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,ผศ.พิเศษ ธนินทร์ เวชชาภินันท์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,ผู้แทนสำนักงานประกันสังคม,กรรมการและเลขานุการ,เลขานุการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,นพ. ธนา ธุระเจน,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,พล.อ. สาโรช เขียวขจี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,พล.อ.ต. สันติ ศรีเสริมโภค,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,รศ. นพ. สุรศักดิ์ ลีลาอุดมลิปิ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,รศ. พิสิษฐ์ พิริยาพรรณ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,รศ. วีระศักดิ์ จรัสชัยศรี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,รศ. ศุภชัย รัตนมณีฉัตร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,ศ. ประสิทธิ์ วัฒนาภา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,ศ.คลินิก สุดสวาท เลาหวินิจ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,ศ.คลินิก สุพรรณ ศรีธรรมมา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,ศ.คลินิกเกียรติคุณ เหลือพร ปุณณกันต์,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนประกันสังคม
2563,นางสาวนันทินี ทรัพย์ศิริ,ผู้ช่วยเลขานุการ,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2563,นางสาวอรุณี ศรีโต,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2563,นายทวี ดียิ่ง,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2563,นายธีระวิทย์ วงศ์เพชร,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2563,นายประพนธ์ ศิลปรัศมี,ผู้ช่วยเลขานุการ,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2563,นายพจน์ อร่ามวัฒนานนท์,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2563,นายสมพงศ์ นครศรี,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2563,นายสุวิทย์ ศรีเพียร,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2563,พลโท กฤษฎา ดวงอุไร,ที่ปรึกษา,ที่ปรึกษาคณะกรรมการ,คณะกรรมการประกันสังคม
2563,นพ. ชาญวิทย์ ธีระเทพ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นางเธียรรัตน์ นะวะมะวัฒน์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นางอำมร เชาวลิต,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นายชาติพงษ์ จีระพันธุ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นายมนัส โกศล,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นายวสันต์ มหิงษา,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นายอนันต์ชัย อุทัยพัฒนาชีพ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นายอาทิตย์ อิสโม,ประธานกรรมการ,ประธาน,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2563,นางสาวณัฐชนน วัฒนญาณนนท์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2563,นางสาวลัดดา แซ่ลี้,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2563,นายนันทชัย ปัญญาสุรฤทธิ์,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2563,นายบุญสงค์ ทัพชัยยุทธ์,เลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2562,นางรัตนา ร่มไทรทอง,กรรมการ,ผู้ทรงคุณวุฒิด้านเศรษฐศาสตร์,คณะกรรมการกองทุนเงินทดแทน
2562,นายณรงค์ บุญเจริญ,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการกองทุนเงินทดแทน
2562,นายธำรง คุโณปการ,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการกองทุนเงินทดแทน
2562,นายปณพล ธรรมพรหมกุล,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการกองทุนเงินทดแทน
2562,นายประจวบ พิกุล,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการกองทุนเงินทดแทน
2562,นายประสิทธิ์ จงอัศญากุล,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการกองทุนเงินทดแทน
2562,นายแพทย์ไกรจักร แก้วนิล,กรรมการ,ผู้ทรงคุณวุฒิด้านการแพทย์,คณะกรรมการกองทุนเงินทดแทน
2562,นายวันชัย ภาววิมล,กรรมการ,ผู้ทรงคุณวุฒิด้านนิติศาสตร์,คณะกรรมการกองทุนเงินทดแทน
2562,นายอนุชิต แก้วต้น,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการกองทุนเงินทดแทน
2562,ผศ.มานวิภา อินทรทัต,กรรมการ,ผู้ทรงคุณวุฒิด้านการคลัง,คณะกรรมการกองทุนเงินทดแทน
2562,รศ. วิจิตต์ศรี สงวนวงศ์,กรรมการ,ผู้ทรงคุณวุฒิด้านประกันสังคม,คณะกรรมการกองทุนเงินทดแทน
2562,นายจิรุตม์ ศรีรัตนบัลล์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,นายประทีป ธนกิจเจริญ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,นายวิชัย โชควิวัฒน์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,นายสมเกียรติ ฉายะศรีวงศ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,นายสุวัช เซียศิริวัฒนา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,พล.ต.ต.ชุมศักดิ์ พฤกษาพงษ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,พล.ต.ต.วิฑูรย์ นิติวรางกูร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,พล.ต.ท.หญิง พจนี สุนทรเกตุ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,พล.ร.ต.กิติพัฒน์ วัฒนาวงศ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,ศ.จรัส สุวรรณเวลา,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,สำนักงานประกันสังคม,กรรมการและเลขานุการ,เลขานุการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2562,นายทวี เตชะธีราวัฒน์,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2562,นายธานี แตงจีน,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2562,นายธำรง คุโณปการ,ที่ปรึกษา,ผู้ทรงคุณวุฒิด้านนิติศาสตร์,คณะกรรมการประกันสังคม
2562,นายนคร สุทธิประวัติ,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2562,นายประภาส ชัยวัฒนายน,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2562,นายพนัส ไทยล้วน,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2562,นายวรพงษ์ ระวิรัชต์,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2562,นายวัลลภ กิ่งชาญศิลป์,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2562,นายสมเกียรติ ฉายะศรีวงศ์,ที่ปรึกษา,ผู้ทรงคุณวุฒิด้านบริหาร,คณะกรรมการประกันสังคม
2562,นายสุธรรม เจริญพรวัฒนา,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2562,นายสุพัฒน์ วาณิชย์การ,ที่ปรึกษา,ผู้ทรงคุณวุฒิระบบประกันสังคม,คณะกรรมการประกันสังคม
2562,นายสุรัตน์ จันทร์วันเพ็ญ,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2562,นายอนุวัฒน์ ศุภชุติกุล,ที่ปรึกษา,ผู้ทรงคุณวุฒิด้านการแพทย์,คณะกรรมการประกันสังคม
2562,นายอรรถยุทธ ลียะวณิช,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2562,นายธรรมรงค์ มุลิกลัด,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นายปัณณพงศ์ อิทธิ์อรรถนนท์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นายพรชัย สิทธิศรัณย์กุล,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นายรังสฤษฎ์ จันทรัตน์,ประธานกรรมการ,ประธาน,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นายวัชรพล บุษมงคล,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นายวิรัช พยุงวงษ์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นายสุชาติ ไทยล้วน,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2562,นางสาวเรณู ตังคจิวางกูร,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2562,นายจีรศักดิ์ สุคนธชาติ,ที่ปรึกษาด้านประสิทธิภาพ,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2562,นายชูศักดิ์ อาจอง,รองเลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2562,นายอนันต์ชัย อุทัยพัฒนาชีพ,เลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2561,นางปริศนา ประหารข้าศึก,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นางผจงสิน วรรณโกวิท,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นางสาวโสภาวดี เลิศมนัสชัย,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นางสุวรรณี สิริเวชชะพันธ์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายดุสิต เขมะศักดิ์ชัย,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายบรรจง บุญรัตน์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายปิยะชาติ ชุณหเวชสกุล,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายพงศธร คงลือชา,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายวารินทร์ ศรีแจ่ม,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายศรีประสิทธิ์ บุญวิสุทธิ์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายสมบูรณ์ ม่วงกล้า,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นายอรรถการ ตฤษณารังสี,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2561,นางวิลาวัณย์ จึงประเสริฐ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,นางสาวมิ่งขวัญ วิชัยดิษฐ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,นางสุคนธา ปัทมสิงห์ ณ อยุธยา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,นายเจษฎา โชคดำรงสุข,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,นายวันชาติ ศุภจัตุรัส,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,นายสุวัช เซียศิริวัฒนา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,พล.ต.ต. สุรพล เกษประยูร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,พลโท นพดล เพ็ญกิตติ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,พลเรือโท สุชีพ ช้างเสวก,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,รศ. โยธิน เบญจวัง,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,รศ. อรุณวงศ์ เทพชาตรี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,ศ. ประสิทธิ์ วัฒนาภา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,ศ. พรชัย มูลพฤกษ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,ศ. ภานุพันธ์ ทรงเจริญ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนเงินทดแทน
2561,นายชาญวิทย์ ทระเทพ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นายชาตรี บานชื่น,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นายทรงยศ ชัยชนะ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นายพรเทพ ศิริวนารังสรรค์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นายสุพรรณ ศรีธรรมมา,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นายอดุลย์ บัณฑุกุล,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นายอำนวย กาจีนะ,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,ผศ. วีระศักดิ์ จรัสชัยศรี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,พลเอกจัดพล วุฑฒกนก,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,พลเอกไตรโรจน์ ครุฑเวโช,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,รศ. จุฑาไล ตันฑเทอดธรรม,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,รศ. ศุภชัย รัตนมณีฉัตร,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,ศ. พรชัย สิทธิศรัณย์กุล,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,ศ. สารเนตร์ ไวคกุล,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,ศ. สุนันทา พลปัถพี,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2561,นางกรรณิการ์ งามโสภี,กรรมการ,กรรมการ,คณะกรรมการตรวจสอบกองทุนประกันสังคม
2561,นายนาวิน แสงสันต์,กรรมการ,กรรมการ,คณะกรรมการตรวจสอบกองทุนประกันสังคม
2561,นายศานิต ร่างน้อย,กรรมการ,กรรมการ,คณะกรรมการตรวจสอบกองทุนประกันสังคม
2561,นายสมพร แย้มนิล,กรรมการ,กรรมการ,คณะกรรมการตรวจสอบกองทุนประกันสังคม
2561,นายสีมา สีมานันท์,กรรมการ,กรรมการ,คณะกรรมการตรวจสอบกองทุนประกันสังคม
2561,รศ. วิรัช อภิเมธีธำรง,ประธานกรรมการ,ประธาน,คณะกรรมการตรวจสอบกองทุนประกันสังคม
2561,นางสาวอรุณี ศรีโต,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2561,นายถาวร พานิชพันธ์,ที่ปรึกษาทางกฎหมาย,ที่ปรึกษา,คณะกรรมการประกันสังคม
2561,นายทวี ดียิ่ง,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2561,นายธีระวิทย์ วงศ์เพชร,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2561,นายปั้น วรรณพินิจ,ที่ปรึกษาระบบงานประกันสังคม,ที่ปรึกษา,คณะกรรมการประกันสังคม
2561,นายพจน์ อร่ามวัฒนานนท์,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2561,นายมานิตย์ พรหมการีย์กุล,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2561,นายวันชัย ผุดวารี,กรรมการ,ผู้แทนฝ่ายผู้ประกันตน,คณะกรรมการประกันสังคม
2561,นายวาชิต รัตนเพียร,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2561,นายสมพงศ์ นครศรี,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2561,นายสุวรรณ สุขประเสริฐ,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2561,นายสุวิทย์ ศรีเพียร,กรรมการ,ผู้แทนฝ่ายนายจ้าง,คณะกรรมการประกันสังคม
2561,นายอำพล สิงหโกวินท์,ที่ปรึกษาทางการแรงงาน,ที่ปรึกษา,คณะกรรมการประกันสังคม
2561,พลโท กฤษฎา ดวงอุไร,ที่ปรึกษาทางการแพทย์,ที่ปรึกษา,คณะกรรมการประกันสังคม
2561,พลเอกอภิชาต แสงรุ่งเรือง,ที่ปรึกษาทางเศรษฐศาสตร์,ที่ปรึกษา,คณะกรรมการประกันสังคม
2561,นางดุษฎี อัมรานุรักษ์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นางพฤฒิพร เนติโพธิ์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายทวี เตชะธีราวัฒน์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายประภาส ชัยวัฒนายน,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายปัณณพงศ์ อิทธิ์อรรถนนท์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายมานะ คุ้มกระโทก,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายสมปอง ธนไพศาลกิจ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายสมัยศักดิ์ เจียรธนะกานนท์,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายสิทธิชัย พุทธิประเสริฐ,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายสุภัท กุขุน,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายอนุชิต แก้วต้น,กรรมการ,กรรมการ,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นายอาทิตย์ อิสโม,ประธานกรรมการ,ประธาน,คณะกรรมการอุทธรณ์กองทุนประกันสังคม
2561,นางสาวดวงพร พรพิทักษ์พันธุ์,ผู้ตรวจราชการกรม รักษาการที่ปรึกษาด้านประสิทธิภาพ,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2561,นางสาวบุปผา เรืองสุด,รองเลขาธิการ,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2561,นางสาวอาภันธ์ ธุววิทย์,รองเลขาธิการ,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2561,นายภูมา ธรรมกุล,รองเลขาธิการ,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2561,นายอนันต์ชัย อุทัยพัฒนาชีพ,เลขาธิการสำนักงานประกันสังคม,ผู้บริหาร,ผู้บริหารสำนักงานประกันสังคม
2560,นางปริศนา ประหารข้าศึก,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2560,นางผจงสิน วรรณโกวิท,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2560,นางสาวโสภาวดี เลิศมนัสชัย,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2560,นางสุวรรณี สิริเวชชะพันธ์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2560,นายดุสิต เขมะศักดิ์ชัย,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2560,นายบรรจง บุญรัตน์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2560,นายปิยะชาติ ชุณหเวชสกุล,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
